Product,RowId,Unit,PackageType,ContentQty,X,Y,Z,Weight
385097,569968,1,1,16,47,18,19,2.48
385098,567849,0,1,1,18.1,6.7,8.4,0.182
385098,569969,1,1,15,45,24,19,3.08
385104,567862,0,1,1,19.4,10.1,23.1,0.73
385104,568277,1,1,16,40.7,42.5,48.9,12.9
385216,568008,0,1,1,9.8,10.7,14,0.35
385216,574138,1,1,10,50,23.5,29,5.46
385280,568314,0,1,1,14,21.8,51.3,1.408
385281,568315,0,1,1,46.7,15.5,15.1,1.524
385282,568316,0,1,1,47.6,15.5,15,1.52
385283,568317,0,1,1,44,15.5,15,1.522
385284,568318,0,1,1,44.2,15.4,15.1,1.522
385293,568336,0,1,1,49.7,8.3,9.7,0.73
385370,568430,0,1,1,42.5,20,12.5,0.99
386451,569528,0,1,1,19.1,9.8,21.1,1.726
386451,948912,1,1,6,21.8,30.3,42.3,10.736
386516,569607,0,1,1,38.8,11.2,38.7,4.15
386706,569823,0,1,1,42.3,6.2,13.3,0.728
386706,616937,1,1,12,48.5,29.4,39.1,9.41
386708,569825,0,1,1,43.7,6.3,13.3,0.79
386708,570316,1,1,12,43.5,29,38,9.8
386710,569827,0,1,1,42.6,6.2,13.3,0.782
386710,570323,1,1,12,43.9,29.3,38.6,10.088
386711,569828,0,1,1,34.3,6.8,17,0.834
386711,570324,1,1,12,42.5,36,33.5,10.33
386712,569829,0,1,1,16.9,6.8,33.1,0.88
386712,570325,1,1,12,42,36.5,33,10.87
386713,569830,0,1,1,17.3,6.8,37.9,0.96
386713,570319,1,1,6,39.6,37.6,22.5,6.216
386714,569831,0,1,1,17,6.8,33,0.996
386714,570321,1,1,12,42.8,36.1,34.7,12.56
386717,569834,0,1,1,17.3,7,37.5,1.128
386717,570320,1,1,6,39.2,37.7,22.8,7.174
386768,569903,0,1,1,11.1,4.7,20.4,0.186
387041,570210,0,1,1,20,10,12.8,0.58
387041,786521,1,1,20,52.2,23.6,50.1,12.734
387043,570212,0,1,1,90.8,22.8,17.3,5.448
387043,570659,1,1,2,91.5,37.5,24,12.206
387047,570217,0,1,1,16.2,7,11.8,0.096
387047,570246,1,1,40,45.2,37.2,27.8,4.61
387048,570218,0,1,1,16.2,6.9,11.7,0.094
387048,570250,1,1,40,44,36,28,5
387049,570219,0,1,1,25.7,6.9,11.8,0.112
387049,570247,1,1,40,44,36,28,5
387073,570263,0,1,1,53.9,9.1,53.4,5.754
387140,570360,0,1,1,24.6,6.7,27.5,0.708
387143,570364,0,1,1,8.1,27.7,22.7,0.512
387148,570370,0,1,1,19.8,3.3,17.6,0.03
387149,570371,0,1,1,16.5,2,37.3,0.044
387150,570372,0,1,1,17,2.4,17.1,0.056
387151,570373,0,1,1,17.9,3.3,19,0.08
387152,570374,0,1,1,28.2,5.9,22.6,0.708
387152,752411,1,1,6,35,24,28,4.52
387155,570377,0,1,1,33,7,19,0.618
387465,570723,0,1,1,18.3,15.8,21.5,4.81
387475,570733,0,1,1,17.6,7.3,22.8,0.918
387526,570785,0,1,1,12.2,6.9,20.8,0.844
387594,570874,0,1,1,35,21.1,37.9,8.838
387594,570949,1,1,2,38.2,37.5,46.6,18.432
387655,570937,0,1,1,33.7,13.7,11.9,0.716
387665,570947,0,1,1,57.4,9.9,42.2,7.496
387665,750375,1,1,2,60.4,24.9,45.7,17.45
387783,571084,0,1,1,11.4,7.3,9.2,0.114
387784,571085,0,1,1,14,8.2,10.3,0.24
387784,874514,1,1,50,73.1,20.9,53.3,14.474
387785,571086,0,1,1,9.1,16.4,12.4,0.558
387785,596094,1,1,12,38.5,21,33.5,7.41
387786,571087,0,1,1,12.2,9.3,16.3,0.372
387786,957197,1,1,12,33.7,22,38.7,5.2
387793,571094,0,1,1,14.6,15.1,16.2,0.416
387848,571159,0,1,1,14.3,3.7,17.1,0.184
387848,705286,1,1,70,44,26,31,10.14
387858,571169,0,1,1,13.3,3.6,13.5,0.038
388034,571361,0,1,1,15.6,2,8.2,0.068
388034,663091,1,1,10,25.2,10,17.4,0.836
388036,571363,0,1,1,15.6,1.9,6.8,0.036
388036,573732,1,1,10,14.5,22.2,10.4,0.498
388042,571369,0,1,1,10.9,4.2,10.7,0.182
388042,590494,1,1,10,28.5,18.3,22,2.284
388162,571561,0,1,1,17.9,3.3,16.4,0.126
388175,571592,0,1,1,15.2,4.3,8.2,0.056
388204,571631,0,1,1,13.5,4,9.8,0.128
388208,571638,0,1,1,14.8,6.3,14.8,0.434
388208,717099,1,1,18,46,25,30,9.93
388210,571640,0,1,1,29.3,6.7,15,0.676
388210,705290,1,1,15,46,30,30,11.9
388211,571641,0,1,1,22.4,7.1,19.8,1.102
388212,571642,0,1,1,14.1,6.8,14.6,0.516
388212,699692,1,1,18,31.9,25.9,47,10.01
388213,571643,0,1,1,14.5,5.8,29.5,0.666
388334,571767,0,1,1,21.5,9.1,28.5,1.19
388334,874455,1,1,3,35.6,28.4,34.9,4.694
388335,571768,0,1,1,33.4,7.7,32.6,2.096
388335,779033,1,1,3,35.6,29.2,35.4,7.054
388336,571769,0,1,1,32.9,7.9,32.4,2.37
388336,705284,1,1,3,35.7,28.9,35.8,7.706
388357,571837,0,1,1,18.8,7.5,16.2,0.16
388426,571935,0,1,1,55.9,20.6,29.8,11.884
388427,571936,0,2,1,78,41,22,36.8
388427,911469,2,2,18,147,120,80,648
388463,571976,0,1,1,14.6,4.3,17.1,0.542
388463,572033,1,1,20,55.5,20,40,13.67
388492,572005,0,1,1,17.7,6.4,24.7,0.082
